Pod Number   Feed Number     Probe A Polarization Angle (deg)    Probe B Polarization Angle (deg) 
1   1   -44.9494    44.949399
1   2   -44.866042  45.086059
1   3   -45.086069  44.866029
1   4   43.764429   133.837685
1   5   43.817384   133.9932
1   6   -43.817373  46.00682
1   7   -43.771363  46.162338
1   8   -44.994266  44.994256
1   9   42.642185   132.812654
1   10  -42.639037  47.187404
2   1   -44.447797  45.589611
2   2   -44.550245  45.425881
2   3   44.691255   134.619198
2   4   -42.29957   47.883573
2   5   -41.329823  48.783092
2   6   -42.525348  47.513205
2   7   44.363486   134.360651
2   8   -44.4723    45.495602
2   9   -42.186725  48.070435
2   10  -43.763499  46.272998
3   1   -40.336326  49.725227
3   2   -34.210678  55.900871
3   3   -37.413005  52.5871
3   4   -41.55719   48.409117
3   5   -41.464668  48.547194
3   6   -40.297002  49.846774
3   7   -36.158135  54.050169
3   8   -32.251425  57.746339
3   9   -40.713746  49.285503
3   10  -40.102187  50.153189
4   1   -44.92807   44.92807
4   2   -45.106673  44.855385
4   3   -44.855409  45.106674
4   4   -42.64936   47.208852
4   5   -42.75197   47.033333
4   6   42.751963   132.966746
4   7   43.647236   133.792718
4   8   -45.004126  45.004102
4   9   -40.48685   49.359871
4   10  40.487169   130.64001
5   1   39.350248   129.282172
5   2   36.428795   126.410582
5   3   36.18888    126.096748
5   4   38.164424   127.963991
5   5   40.293824   130.145388
5   6   40.482927   130.461347
5   7   41.560362   131.590239
5   8   31.258056   121.247937
5   9   40.096453   129.859171
5   10  41.711967   131.714964
6   1   -45.589623  44.447808
6   2   -44.69127   45.380804
6   3   -45.425912  44.550208
6   4   -44.363515  45.639343
6   5   42.525336   132.480813
6   6   40.328905   130.218165
6   7   42.299573   132.116467
6   8   -45.495645  44.474607
6   9   43.76348    133.727003
6   10  42.186219   131.930153
7   1   35.190626   126.037919
7   2   34.33402    124.99365
7   3   33.171102   123.875781
7   4   33.035658   123.914518
7   5   36.065111   127.089432
7   6   37.212077   128.223405
7   7   36.360843   127.183666
7   8   33.318864   123.825587
7   9   26.87271    118.032278
7   10  40.342095   131.350451
8   1   -44.733862  44.766304
8   2   42.592625   133.251903
8   3   -42.594338  46.745008
8   4   -41.578738  47.921242
8   5   -42.736751  46.914277
8   6   42.756422   133.09634
8   7   41.581354   132.092462
8   8   -44.561194  44.583934
8   9   -39.531142  50.075586
8   10  39.549377   129.939031
9   1   -34.175901  54.945738
9   2   -32.176794  57.141721
9   3   -33.317436  56.004466
9   4   -36.354456  52.836314
9   5   -36.193973  52.765303
9   6   -36.060853  52.895357
9   7   -32.034254  57.075056
9   8   -33.302504  56.191516
9   9   -40.338255  48.651018
9   10  -25.852565  62.963152
10  1   0.294688    89.399895
10  2   -10.782431  78.208921
10  3   -16.622937  72.359652
10  4   2.535709    91.474075
10  5   -1.630961   87.579003
10  6   8.145554    97.485612
10  7   -26.995183  62.374263
10  8   -21.694571  67.174516
10  9   24.579432   113.696786
10  10  -29.157196  60.445873
11  1   38.241424   127.841216
11  2   41.45261    130.96169
11  3   42.139275   131.845225
11  4   42.931238   132.762587
11  5   33.068682   122.720279
11  6   30.34654    119.791649
11  7   35.520643   124.920765
11  8   -43.0191    47.335008
11  9   -38.242484  51.656965
11  10  34.586992   123.905334
12  1   44.087775   133.231408
12  2   40.893113   130.0955
12  3   37.195815   126.143356
12  4   43.425894   132.28684
12  5   43.343092   132.361037
12  6   45.057073   134.269
12  7   41.813597   131.130771
12  8   34.978021   124.030461
12  9   44.654079   133.429504
12  10  -43.847174  46.733263
13  1   -39.47522   51.39529
13  2   -34.377168  56.688474
13  3   -32.499039  58.358759
13  4   -34.635142  56.11155
13  5   -39.625324  51.168529
13  6   -41.509951  49.481248
13  7   -37.389277  53.742338
13  8   -31.363755  59.624494
13  9   -37.74775   52.867793
13  10  -41.425885  49.799995
14  1   -30.764152  59.660853
14  2   -32.90268   57.458036
14  3   -33.729415  56.774149
14  4   -29.651593  61.042274
14  5   -26.663774  63.948796
14  6   -29.789664  60.539117
14  7   -28.968606  61.348221
14  8   -35.885827  54.571899
14  9   -28.475127  62.285736
14  10  -25.030347  65.233064
15  1   -12.759526  78.046988
15  2   -3.733775   87.421231
15  3   -1.945811   89.03423
