#Pod    feed    MCE_Col     MCE_row_tesA  MCE_row_tesB   ABS wafer 1-*    Chip number 
1       9       8           1              2                14              42
1       4       8           3              4                14              37
1       5       8           5              6                14              35
1       6       8           7              8                14              32
1       1       8           9              10               14              29
1       10      8           11             12               14              30
1       7       8           14             13               14              31
1       2       8           16             15               14              34
1       3       8           18              19              14              38
1       8       8           21              20              14              40
2       9       6           1              2                15              47
2       4       6           4              5                15              48
2       5       6           6              7                15              45
2       6       6           8              9                15              40
2       1       6           00             10              15              43
2       10      6           11             12               15              59
2       7       6           14             13               15              38
2       2       6           16             15               15              41
2       3       6           18              19              15              53
2       8       6           21              20              15              49
3       9       1           20              19              11              104
3       4       1           18              17              11              102
3       5       1           16              15              11              97
3       6       1           14              13              11              95
3       1       1           12              11              11              99
3       10      1           10              9               11              91
3       7       1           7               8               11              94
3       2       1           5               6               11              96
3       3       1           3               2               11              101
3       8       1           0               1               11              100
4       9       23          20              19              11		48
4       4       23          18              17              11		12
4       5       23          16              15              11		110
4       6       23          14              13              11		106
4       1       23          12              11              11		108
4       10      23          10              9               11		85
4       7       23          7               8               11		105
4       2       23          5               6               11		107
4       3       23          3               2               11		7
4       8       23          0               1               11		111
5       9       2          20              19               11              89
5       4       2          18              17               11              87
5       5       2          16              15               11              84
5       6       2          14              13               11              77
5       1       2          12              11               11              83
5       10      2          10              9                11              75
5       7       2          7               8                11              76
5       2       2          5               6                11              78
5       3       2          3               2                11              86
5       8       2          0               1                11              90
6       9       4           1              2                14              28
6       4       4           3              4                14              25
6       5       4           5              6                14              21
6       6       4           7              8                14              19
6       1       4           9              10               14              22
6       10      4           11             12               14              17
6       7       4           14             13               14              18
6       2       4           16             15               14              24
6       3       4           18              19              14              26
6       8       4           21              20              14              27
7       9       11          2              3                14              108
7       4       11          4              5                14              104
7       5       11          6              7                14              101
7       6       11          8              9                14              99
7       1       11          10             11               14              102
7       10      11          12             13               14              96
7       7       11          15             14               14              98
7       2       11          17             16               14              103
7       3       11          18              19              14              105
7       8       11          21              20              14              106
8       9       13          1              2                14              60
8       4       13          3              4                14              55
8       5       13          5              6                14              48
8       6       13          7              8                14              47
8       1       13          9              10               14              53
8       10      13          11             12               14              43
8       7       13          14             13               14              46
8       2       13          16             15               14              52
8       3       13          18              19              14              56
8       8       13          21              20              14              59
9       9       12          1              2                14              83
9       4       12          3              4                14              77
9       5       12          5              6                14              67
9       6       12          7              8                14              66
9       1       12          9              10               14              73
9       10      12          11             12               14              65
9       7       12          14             13               14              64
9       2       12          16             15               14              75
9       3       12          18              19              14              78
9       8       12          21              20              14              79
10      9       15          1              2                14              95
10      4       15          3              4                14              91
10      5       15          5              6                14              87
10      6       15          7              8                14              86
10      1       15          9              10               14              88
10      10      15          11             12               14              84
10      7       15          14             13               14              85
10      2       15          17             15               14              90
10      3       15          18              19              14              92
10      8       15          21              20              14              94
11      9       9          1              2                 15              31
11      4       9          3              4                 15              29
11      5       9          5              6                 15              24
11      6       9          7              8                 15              23
11      1       9          9              10                15              26
11      10      9          11             12                15              21
11      7       9          14             13                15              22
11      2       9          16             15                15              27
11      3       9          18              19               15              28
11      8       9          21              20               15              33
12      9       10         1              2                 15              18
12      4       10         3              4                 15              17
12      5       10         5              6                 15              12
12      6       10         7              8                 15              7
12      1       10         9              10                15              10
12      10      10         11             12                15              5
12      7       10         14             13                15              6
12      2       10         16             15                15              8
12      3       10         18              19               15              15
12      8       10         21              20               15              14
13      9       21          20              19              11              20
13      4       21          18              17              11              21
13      5       21          16              14              11              27
13      6       21          00             13              11              40
13      1       21          12              11              11              29
13      10      21          10              9               11              38
13      7       21          7               8               11              39
13      2       21          5               6               11              30
13      3       21          3               1               11              22
13      8       21          00             00             11              24
14      9       22          20              19              11              74
14      4       22          18              17              11              73
14      5       22          16              15              11              53
14      6       22          14              13              11              49
14      1       22          12              11              11              61
14      10      22          10              9               11              41
14      7       22          7               8               11              42
14      2       22          4               5               11              51
14      3       22          3               2               11              63
14      8       22          0               1               11              62
15      9       20          20              19              4               48
15      4       20          18              17              4               56
15      5       20          16              15              4               53  
15      6       20          14              13              4               46
15      1       20          12              11              4               57
15      10      20          10              9               4               7
15      7       20          7               8               4               24
15      2       20          5               6               4               37
15      3       20          3               2               4               34
15      8       20          0               1               4               38
16      9       19          21              20              4               16
16      4       19          19              18              4               18
16      5       19          17              16              4               12
16      6       19          15              12              4               8
16      1       19          11              10              4               11
16      10      19          9               8               4               6
16      7       19          6               7               4               28
16      2       19          4               5               4               9
16      3       19          3               2               4               14
16      8       19          0               1               4               5
17      9       16          20              19              4               52
17      4       16          18              17              4               21
17      5       16          16              15              4               41
17      6       16          14              13              4               29
17      1       16          12              11              4               40
17      10      16          10              9               4               22
17      7       16          7               8               4               19
17      2       16          5               6               4               55
17      3       16          3               2               4               53
17      8       16          0               1               4               23
18      9       17          20              19              4               72
18      4       17          18              17              4               73
18      5       17          16              15              4               70
18      6       17          14              13              4               79
18      1       17          12              11              4               83
18      10      17          10              9               4               84
18      7       17          7               8               4               67
18      2       17          5               6               4               76
18      3       17          3               2               4               74
18      8       17          0               1               4               75
19      9       18          20              19              4               99
19      4       18          18              17              4               97
19      5       18          16              15              4               91
19      6       18          14              13              4               93
19      1       18          12              11              4               87
19      10      18          10              9               4               85
19      7       18          7               8               4               86
19      2       18          5               6               4               94
19      3       18          3               2               4               96
19      8       18          0               1               4               95
20      9       0          20              19               11              19
20      4       0          18              17               11              18
20      5       0          16              15               11              10
20      6       0          14              13               11              5
20      1       0          12              11               11              9
20      10      0          10              9                11              2
20      7       0          7               8                11              3
20      2       0          5               6                11              8
20      3       0          3               2                11              17
20      8       0          0               1                11              13
21      9       3          20              19               4              88
21      4       3          18              17               4              65
21      5       3          16              15               4              66
21      6       3          14              13               4              105
21      1       3          12              11               4              109
21      10      3          10              9                4              100
21      7       3          7               8                4              104
21      2       3          5               6                4              106
21      3       3          3               2                4              64
21      8       3          0               1                4              63
22      9       5         1              2                  15              62
22      4       5         3              4                  15              20
22      5       5         5              7                  14              58
22      6       5         8              9                  14              57
22      1       5         10             11                 14              62
22      10      5         12             13                 14              16
22      7       5         15             14                 14              36
22      2       5         17             16                 14              81
22      3       5         18              19                14              89
22      8       5         21              20                14              107
23      9       7         1              2                  14              14
23      4       7         3              4                  14              11
23      5       7         5              6                  14              8
23      6       7         7              8                  14              6
23      1       7         9              10                 14              9
23      10      7         11             12                 14              5
23      7       7         14             13                 14              7
23      2       7         16             15                 14              10
23      3       7         18              19                14              12
23      8       7         21              20                14              13
24      9       14        1              2                  15              88
24      4       14        3              4                  15              80
24      5       14        5              6                  15              67
24      6       14        7              8                  15              65  
24      1       14        9              10                 15              77
24      10      14        11             12                 15              60
24      7       14        14             13                 15              64
24      2       14        16             15                 15              78
24      3       14        18              19                15              81
24      8       14        21              20                15              82
